construction_name,wall_reference,edge_type,description_x,description_y,unit,u_w_per_m_k,material_opaque_id_layers,id_layers_quantity_multipliers
BTAP-Corner-1,BTAP-ExteriorWall-SteelFramed-2 bad,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.3, continuous exterior horizontal metal girts",$/ft,0.15,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-SteelFramed-2 good,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.1, thermally broken cladding attachment",$/ft,0.09,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-SteelFramed-3 bad,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.3, continuous exterior horizontal metal girts",$/ft,0.15,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-SteelFramed-3 good,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.1, thermally broken cladding attachment",$/ft,0.09,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-SteelFramed-4 bad,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.3, continuous exterior horizontal metal girts",$/ft,0.15,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-SteelFramed-4 good,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.1, thermally broken cladding attachment",$/ft,0.09,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-SteelFramed-5 bad,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.3, continuous exterior horizontal metal girts",$/ft,0.15,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-SteelFramed-5 good,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.1, thermally broken cladding attachment",$/ft,0.09,0,3.3
BTAP-Corner-2,BTAP-ExteriorWall-WoodFramed-6 good,corner,"Split Insulated Wood Framed Wall, Corner Detail","BETB 8.5.1, wood framed w/ continuous strapping fastened through ins.",$/ft,0.04,0,3.3
BTAP-Corner-2,BTAP-ExteriorWall-WoodFramed-6B good,corner,"Split Insulated Wood Framed Wall, Corner Detail","BETB 8.5.1, wood framed w/ continuous strapping fastened through ins.",$/ft,0.04,0,3.3
BTAP-Corner-2,BTAP-ExteriorWall-WoodFramed-7 good,corner,"Split Insulated Wood Framed Wall, Corner Detail","BETB 8.5.1, wood framed w/ continuous strapping fastened through ins.",$/ft,0.04,0,3.3
BTAP-Corner-2,BTAP-ExteriorWall-WoodFramed-8 good,corner,"Split Insulated Wood Framed Wall, Corner Detail","BETB 8.5.1, wood framed w/ continuous strapping fastened through ins.",$/ft,0.04,0,3.3
BTAP-Corner-3,BTAP-ExteriorWall-Metal-1B bad,corner,"Insulated Metal Sandwich Panels, Corner Detail","BETB 6.5.1, vertical panels supported at corner post",$/ft,0.15,191,3.3
BTAP-Corner-3,BTAP-ExteriorWall-Metal-1B good,corner,"Insulated Metal Sandwich Panels, Corner Detail","BETB 6.5.2, horizontal panels supported at corner post",$/ft,0.07,191,3.3
BTAP-Corner-3,BTAP-ExteriorWall-Metal-1C bad,corner,"Insulated Metal Sandwich Panels, Corner Detail","BETB 6.5.1, vertical panels supported at corner post",$/ft,0.15,191,3.3
BTAP-Corner-3,BTAP-ExteriorWall-Metal-1C good,corner,"Insulated Metal Sandwich Panels, Corner Detail","BETB 6.5.2, horizontal panels supported at corner post",$/ft,0.07,191,3.3
BTAP-Corner-4,BTAP-ExteriorWall-Mass-8B bad,corner,"Precast Concrete Panel, Corner Detail","BETB 7.1.8, vertical joint with concrete panel joint",$/ft,0.37,141,3.3
BTAP-Corner-4,BTAP-ExteriorWall-Mass-8B good,corner,"Precast Concrete Panel, Corner Detail","BETB 7.1.9, vertical joint, tigerloc thermal break or insulation completely to panel edge ",$/ft,0.16,141,1.25
BTAP-Corner-4,BTAP-ExteriorWall-Mass-8C bad,corner,"Precast Concrete Panel, Corner Detail","BETB 7.1.8, vertical joint with concrete panel joint",$/ft,0.37,141,3.3
BTAP-Corner-4,BTAP-ExteriorWall-Mass-8C good,corner,"Precast Concrete Panel, Corner Detail","BETB 7.1.9, vertical joint, tigerloc thermal break or insulation completely to panel edge ",$/ft,0.16,141,1.25
BTAP-GlazingPerimeter-1,BTAP-ExteriorWall-Mass-10 bad,fenestration,"Exterior Insulated Steel Framed or Concrete Wall, Window Perimeter Interface","BETB 5.3.14, ext. insulated, thermal clips, windows aligned with framing/opening",$/ft,0.35,139,0.75
BTAP-GlazingPerimeter-1,BTAP-ExteriorWall-Mass-10 good,fenestration,"Exterior Insulated Steel Framed or Concrete Wall, Window Perimeter Interface","BETB 5.3.12, ext. insulated, thermal clips, windows aligned with insulation",$/ft,0.078,139,0.5
BTAP-GlazingPerimeter-1,BTAP-ExteriorWall-Mass-10B bad,fenestration,"Exterior Insulated Steel Framed or Concrete Wall, Window Perimeter Interface","BETB 5.3.14, ext. insulated, thermal clips, windows aligned with framing/opening",$/ft,0.35,139,0.75
BTAP-GlazingPerimeter-1,BTAP-ExteriorWall-Mass-10B good,fenestration,"Exterior Insulated Steel Framed or Concrete Wall, Window Perimeter Interface","BETB 5.3.12, ext. insulated, thermal clips, windows aligned with insulation",$/ft,0.078,139,0.5
BTAP-GlazingPerimeter-1,BTAP-ExteriorWall-Mass-10C bad,fenestration,"Exterior Insulated Steel Framed or Concrete Wall, Window Perimeter Interface","BETB 5.3.14, ext. insulated, thermal clips, windows aligned with framing/opening",$/ft,0.35,139,0.75
BTAP-GlazingPerimeter-1,BTAP-ExteriorWall-Mass-10C good,fenestration,"Exterior Insulated Steel Framed or Concrete Wall, Window Perimeter Interface","BETB 5.3.12, ext. insulated, thermal clips, windows aligned with insulation",$/ft,0.078,139,0.5
BTAP-GlazingPerimeter-1,BTAP-ExteriorWall-SteelFramed-4 bad,fenestration,"Exterior Insulated Steel Framed or Concrete Wall, Window Perimeter Interface","BETB 5.3.14, ext. insulated, thermal clips, windows aligned with framing/opening",$/ft,0.35,139,0.75
BTAP-GlazingPerimeter-1,BTAP-ExteriorWall-SteelFramed-4 good,fenestration,"Exterior Insulated Steel Framed or Concrete Wall, Window Perimeter Interface","BETB 5.3.12, ext. insulated, thermal clips, windows aligned with insulation",$/ft,0.078,139,0.5
BTAP-GlazingPerimeter-2,BTAP-ExteriorWall-SteelFramed-1 bad,fenestration,"Split Insulated Framed Wall, Window Perimeter Interface","BETB 5.3.15, split insulated, thermal clips, windows aligned with framing/opening",$/ft,0.27,139,0.75
BTAP-GlazingPerimeter-2,BTAP-ExteriorWall-SteelFramed-1 good,fenestration,"Split Insulated Framed Wall, Window Perimeter Interface","BETB 5.3.13, split insulated, thermal clips, windows aligned with insulation",$/ft,0.078,139,0.5
BTAP-GlazingPerimeter-2,BTAP-ExteriorWall-SteelFramed-2 bad,fenestration,"Split Insulated Framed Wall, Window Perimeter Interface","BETB 5.3.15, split insulated, thermal clips, windows aligned with framing/opening",$/ft,0.27,139,0.75
BTAP-GlazingPerimeter-2,BTAP-ExteriorWall-SteelFramed-2 good,fenestration,"Split Insulated Framed Wall, Window Perimeter Interface","BETB 5.3.13, split insulated, thermal clips, windows aligned with insulation",$/ft,0.078,139,0.5
BTAP-GlazingPerimeter-2,BTAP-ExteriorWall-WoodFramed-6 bad,fenestration,"Split Insulated Framed Wall, Window Perimeter Interface","BETB 5.3.15, split insulated, thermal clips, windows aligned with framing/opening",$/ft,0.27,139,0.75
BTAP-GlazingPerimeter-2,BTAP-ExteriorWall-WoodFramed-6 good,fenestration,"Split Insulated Framed Wall, Window Perimeter Interface","BETB 5.3.13, split insulated, thermal clips, windows aligned with insulation",$/ft,0.078,139,0.5
BTAP-GlazingPerimeter-2,BTAP-ExteriorWall-WoodFramed-6B bad,fenestration,"Split Insulated Framed Wall, Window Perimeter Interface","BETB 5.3.15, split insulated, thermal clips, windows aligned with framing/opening",$/ft,0.27,139,0.75
BTAP-GlazingPerimeter-2,BTAP-ExteriorWall-WoodFramed-6B good,fenestration,"Split Insulated Framed Wall, Window Perimeter Interface","BETB 5.3.13, split insulated, thermal clips, windows aligned with insulation",$/ft,0.078,139,0.5
BTAP-GlazingPerimeter-3,BTAP-ExteriorWall-WoodFramed-7 bad,fenestration,"Exterior Insulated Wall with Brick Veneer, Window Perimeter Interface","BETB 7.3.14,brick fully interupts exterior insulation at window perimeter returns",$/ft,0.27,0,0.5
BTAP-GlazingPerimeter-3,BTAP-ExteriorWall-WoodFramed-7 good,fenestration,"Exterior Insulated Wall with Brick Veneer, Window Perimeter Interface","BETB 7.3.15, brick partially interupts exterior insulation at window perimeter return (ie. At least 1"" ext. is maintained)",$/ft,0.078,0,0.5
BTAP-GlazingPerimeter-3,BTAP-ExteriorWall-WoodFramed-7B bad,fenestration,"Exterior Insulated Wall with Brick Veneer, Window Perimeter Interface","BETB 7.3.14,brick fully interupts exterior insulation at window perimeter returns",$/ft,0.27,0,0.5
BTAP-GlazingPerimeter-3,BTAP-ExteriorWall-WoodFramed-7B good,fenestration,"Exterior Insulated Wall with Brick Veneer, Window Perimeter Interface","BETB 7.3.15, brick partially interupts exterior insulation at window perimeter return (ie. At least 1"" ext. is maintained)",$/ft,0.078,0,0.5
BTAP-GlazingPerimeter-4,BTAP-ExteriorWall-Metal-1B bad,fenestration,"Insulated Metal Sandwich Panels, Window Perimeter Interface","BETB 6.3.1, metal closure fully bypasses window thermal break",$/ft,0.52,139,1.0
BTAP-GlazingPerimeter-4,BTAP-ExteriorWall-Metal-1B good,fenestration,"Insulated Metal Sandwich Panels, Window Perimeter Interface","BETB 5.3.12, similar to good steel stud opening, metal closure does not bypass thermal break",$/ft,0.078,139,0.5
BTAP-GlazingPerimeter-4,BTAP-ExteriorWall-Metal-1C bad,fenestration,"Insulated Metal Sandwich Panels, Window Perimeter Interface","BETB 6.3.1, metal closure fully bypasses window thermal break",$/ft,0.52,139,1.0
BTAP-GlazingPerimeter-4,BTAP-ExteriorWall-Metal-1C good,fenestration,"Insulated Metal Sandwich Panels, Window Perimeter Interface","BETB 5.3.12, similar to good steel stud opening, metal closure does not bypass thermal break",$/ft,0.078,139,0.5
BTAP-GlazingPerimeter-5,BTAP-ExteriorWall-Mass-8 good,fenestration,"Precast Concrete Panels, Window Perimeter Interface","BETB 7.3.5, panel insulation brought to panel edge, window aligned with insulation",$/ft,0.06,139,0.25
BTAP-GlazingPerimeter-5,BTAP-ExteriorWall-Mass-8 good,fenestration,"Precast Concrete Panels, Window Perimeter Interface","BETB 7.4.5, conrete panel edge, thermal break at window perimeter, window aligned with insulation",$/ft,0.078,"139,150","0.25,0.08333333333333333"
BTAP-GlazingPerimeter-5,BTAP-ExteriorWall-Mass-8C good,fenestration,"Precast Concrete Panels, Window Perimeter Interface","BETB 7.3.5, panel insulation brought to panel edge, window aligned with insulation",$/ft,0.06,139,0.25
BTAP-GlazingPerimeter-5,BTAP-ExteriorWall-Mass-8C good,fenestration,"Precast Concrete Panels, Window Perimeter Interface","BETB 7.4.5, conrete panel edge, thermal break at window perimeter, window aligned with insulation",$/ft,0.078,"139,150","0.25,0.08333333333333333"
BTAP-Grade-1,BTAP-ExteriorWall-SteelFramed-4 bad,grade,Exterior Insulated Steel Framed Wall to Grade Transition ,"BETB 7.7.3, uninsulated foundation wall",$/ft,0.7,139,0.75
BTAP-Grade-1,BTAP-ExteriorWall-SteelFramed-4 good,grade,Exterior Insulated Steel Framed Wall to Grade Transition ,"BETB 5.8.2, exterior insulated foundation wall",$/ft,0.5,"192,139","0.5,0.75"
BTAP-Grade-2,BTAP-ExteriorWall-SteelFramed-1 bad,grade,Split Insulated Steel Framed Wall to Grade Transition,"BETB 7.7.3, uninsulated foundation wall",$/ft,0.72,139,0.75
BTAP-Grade-2,BTAP-ExteriorWall-SteelFramed-1 good,grade,Split Insulated Steel Framed Wall to Grade Transition,"BETB 5.8.3, exterior insulated foundation wall",$/ft,0.47,"192,139","0.75,0.75"
BTAP-Grade-2,BTAP-ExteriorWall-SteelFramed-2 bad,grade,Split Insulated Steel Framed Wall to Grade Transition,"BETB 7.7.3, uninsulated foundation wall",$/ft,0.72,139,0.75
BTAP-Grade-2,BTAP-ExteriorWall-SteelFramed-2 good,grade,Split Insulated Steel Framed Wall to Grade Transition,"BETB 5.8.3, exterior insulated foundation wall",$/ft,0.47,"192,139","0.75,0.75"
BTAP-Grade-3,BTAP-ExteriorWall-SteelFramed-5 bad,grade,Exterior Insulated Wall with Brick Veneer to Grade Transition,"BETB 7.7.9, shelf angle on concrete foundation, uninsulated foundation wall",$/ft,0.52,"21,139","0.75,0.5"
BTAP-Grade-3,BTAP-ExteriorWall-SteelFramed-5 good,grade,Exterior Insulated Wall with Brick Veneer to Grade Transition,"BETB 5.2.33, fero-angle on concrete foundation , exteiror insulated foundation wall",$/ft,0.09,"189,139,192","0.5,0.5,0.5"
BTAP-Grade-4,BTAP-ExteriorWall-SteelFramed-3 bad,grade,Split Insulated Wall with Brick Veneer to Grade Transition,"BETB 7.7.9, shelf angle on concrete foundation, uninsulated foundation wall",$/ft,0.55,"21,139","0.5,0.5"
BTAP-Grade-4,BTAP-ExteriorWall-SteelFramed-3 good,grade,Split Insulated Wall with Brick Veneer to Grade Transition,"BETB 5.2.33, fero-angle on concrete foundation , exteiror insulated foundation wall",$/ft,0.09,"189,139,192","0.5,0.5,0.5"
BTAP-Grade-4,BTAP-ExteriorWall-WoodFramed-7 bad,grade,Split Insulated Wall with Brick Veneer to Grade Transition,"BETB 7.7.9, shelf angle on concrete foundation, uninsulated foundation wall",$/ft,0.55,"21,139","0.5,0.5"
BTAP-Grade-4,BTAP-ExteriorWall-WoodFramed-7 good,grade,Split Insulated Wall with Brick Veneer to Grade Transition,"BETB 5.2.33, fero-angle on concrete foundation , exteiror insulated foundation wall",$/ft,0.09,"189,139,192","0.5,0.5,0.5"
BTAP-Grade-4,BTAP-ExteriorWall-WoodFramed-7B bad,grade,Split Insulated Wall with Brick Veneer to Grade Transition,"BETB 7.7.9, shelf angle on concrete foundation, uninsulated foundation wall",$/ft,0.55,"21,139","0.5,0.5"
BTAP-Grade-4,BTAP-ExteriorWall-WoodFramed-7B good,grade,Split Insulated Wall with Brick Veneer to Grade Transition,"BETB 5.2.33, fero-angle on concrete foundation , exteiror insulated foundation wall",$/ft,0.09,"189,139,192","0.5,0.5,0.5"
BTAP-Grade-5,BTAP-ExteriorWall-WoodFramed-6 bad,grade,Split Insulated Wood Framed Wall to Grade Transition,"BETB 8.7.1, flashing attached to concrete foundation wall, with or without exterior insulation on foundation",$/ft,0.52,"139,192","0.5,0.5"
BTAP-Grade-5,BTAP-ExteriorWall-WoodFramed-6 good,grade,Split Insulated Wood Framed Wall to Grade Transition,"BETB 8.6.2, flashing on rim joist, interior or exterior insulated foundation wall",$/ft,0.09,"139,192","0.5,0.5"
BTAP-Grade-5,BTAP-ExteriorWall-WoodFramed-6B bad,grade,Split Insulated Wood Framed Wall to Grade Transition,"BETB 8.7.1, flashing attached to concrete foundation wall, with or without exterior insulation on foundation",$/ft,0.52,"139,192","0.5,0.5"
BTAP-Grade-5,BTAP-ExteriorWall-WoodFramed-6B good,grade,Split Insulated Wood Framed Wall to Grade Transition,"BETB 8.6.2, flashing on rim joist, interior or exterior insulated foundation wall",$/ft,0.09,"139,192","0.5,0.5"
BTAP-Grade-6,BTAP-ExteriorWall-Metal-1B bad,grade,Insulated Metal Sandwich Panels to Grade Transition,"BETB 7.7.3, similar to exterior insulated wall, uninsulated foundation wall",$/ft,0.7,139,0.5
BTAP-Grade-6,BTAP-ExteriorWall-Metal-1B good,grade,Insulated Metal Sandwich Panels to Grade Transition,"BETB 5.8.2, simiar to exterior insulated wall, insulated foundation wall",$/ft,0.5,"192,139","0.5,0.5"
BTAP-Grade-6,BTAP-ExteriorWall-Metal-1C bad,grade,Insulated Metal Sandwich Panels to Grade Transition,"BETB 7.7.3, similar to exterior insulated wall, uninsulated foundation wall",$/ft,0.7,139,0.5
BTAP-Grade-6,BTAP-ExteriorWall-Metal-1C good,grade,Insulated Metal Sandwich Panels to Grade Transition,"BETB 5.8.2, simiar to exterior insulated wall, insulated foundation wall",$/ft,0.5,"192,139","0.5,0.5"
BTAP-Grade-7,BTAP-ExteriorWall-Mass-8B bad,grade,Precast Concrete Panels to Grade Transition,"BETB 7.7.3, uninsulated foundation wall",$/ft,0.8,139,0.5
BTAP-Grade-7,BTAP-ExteriorWall-Mass-8B good,grade,Precast Concrete Panels to Grade Transition,"BETB 7.7.4, ext. insulated foundation wall aligned with panel insulation",$/ft,0.32,"192,139","0.5,0.5"
BTAP-Grade-7,BTAP-ExteriorWall-Mass-8C bad,grade,Precast Concrete Panels to Grade Transition,"BETB 7.7.3, uninsulated foundation wall",$/ft,0.8,139,0.5
BTAP-Grade-7,BTAP-ExteriorWall-Mass-8C good,grade,Precast Concrete Panels to Grade Transition,"BETB 7.7.4, ext. insulated foundation wall aligned with panel insulation",$/ft,0.32,"192,139","0.5,0.5"
BTAP-IntermediateFloorEdge-1,BTAP-ExteriorWall-SteelFramed-4 bad,rimjoist,Concrete Slab Edge at Exterior Insulated Steel Framed Wall and Metal Panel Cladding,"sim. BETB 5.2.13, metal thru-wall flashing at slab edge",$/ft,0.17,139,10.0
BTAP-IntermediateFloorEdge-1,BTAP-ExteriorWall-SteelFramed-4 good,rimjoist,Concrete Slab Edge at Exterior Insulated Steel Framed Wall and Metal Panel Cladding,"BETB 5.2.17, no thru-wall flashing, thermal clips over slab edge",$/ft,0.017,172,0.5
BTAP-IntermediateFloorEdge-10,BTAP-ExteriorWall-Mass-2B bad,rimjoist,Brick Veneer Shelf Angle at Exterior Insulated CMU Wall ,"BETB 7.2.14, continuous angle on slab edge",$/ft,0.47,"21,172","0.5,0.25"
BTAP-IntermediateFloorEdge-10,BTAP-ExteriorWall-Mass-2B good,rimjoist,Brick Veneer Shelf Angle at Exterior Insulated CMU Wall ,"BETB 5.2.33, stand-off shelf angel (Fero Fast Angle Bracket)",$/ft,0.1,"189,172","0.25,0.5"
BTAP-IntermediateFloorEdge-2,BTAP-ExteriorWall-SteelFramed-1 bad,rimjoist,Concrete Slab Edge at Split Insulated Steel Framed Wall and Metal Panel Cladding,"sim. To BETB 5.2.19, metal thru-wall flashing at slab edge",$/ft,0.28,139,10.0
BTAP-IntermediateFloorEdge-2,BTAP-ExteriorWall-SteelFramed-1 good,rimjoist,Concrete Slab Edge at Split Insulated Steel Framed Wall and Metal Panel Cladding,"BETB 5.2.35 no thru-wall flashing, thermal clips over slab edge",$/ft,0.09,172,0.5
BTAP-IntermediateFloorEdge-2,BTAP-ExteriorWall-SteelFramed-2 bad,rimjoist,Concrete Slab Edge at Split Insulated Steel Framed Wall and Metal Panel Cladding,"sim. To BETB 5.2.19, metal thru-wall flashing at slab edge",$/ft,0.28,139,10.0
BTAP-IntermediateFloorEdge-2,BTAP-ExteriorWall-SteelFramed-2 good,rimjoist,Concrete Slab Edge at Split Insulated Steel Framed Wall and Metal Panel Cladding,"BETB 5.2.35 no thru-wall flashing, thermal clips over slab edge",$/ft,0.09,172,0.5
BTAP-IntermediateFloorEdge-4,BTAP-ExteriorWall-SteelFramed-5 bad,rimjoist,Brick Shelf Angle at Concrete Slab Edge on Exterior Insulated Steel Framed Wall,"BETB 5.2.33, continuous shelf angle on slab edge ",$/ft,0.6,"21,172","0.5,0.25"
BTAP-IntermediateFloorEdge-4,BTAP-ExteriorWall-SteelFramed-5 good,rimjoist,Brick Shelf Angle at Concrete Slab Edge on Exterior Insulated Steel Framed Wall,"BETB 5.2.33, stand-off shelf angel (Fero Fast Angle Bracket)",$/ft,0.1,"189,172","0.25,0.5"
BTAP-IntermediateFloorEdge-5,BTAP-ExteriorWall-SteelFramed-3 bad,rimjoist,Brick Veneer Shelf Angle at Concrete Slab Edge on Split Insulated Steel Framed Wall,"BETB 5.2.33, continuous shelf angle on slab edge ",$/ft,0.52,"21,172","0.5,0.25"
BTAP-IntermediateFloorEdge-5,BTAP-ExteriorWall-SteelFramed-3 good,rimjoist,Brick Veneer Shelf Angle at Concrete Slab Edge on Split Insulated Steel Framed Wall,"BETB 5.2.33, stand-off shelf angel (Fero Fast Angle Bracket)",$/ft,0.1,"189,172","0.25,0.5"
BTAP-IntermediateFloorEdge-6,BTAP-ExteriorWall-WoodFramed-6 bad,rimjoist,"Rim Joist and TWF, Split Insulated Wood Framed Wall with Metal Panel Cladding","BETB 8.2.1, metal thru-wall flashing at rim joist",$/ft,0.09,139,0.5
BTAP-IntermediateFloorEdge-6,BTAP-ExteriorWall-WoodFramed-6 good,rimjoist,"Rim Joist and TWF, Split Insulated Wood Framed Wall with Metal Panel Cladding","BETB 8.2.18 no thru-wall flashing, thermal clips over rim joist",$/ft,0.026,172,0.5
BTAP-IntermediateFloorEdge-6,BTAP-ExteriorWall-WoodFramed-6B bad,rimjoist,"Rim Joist and TWF, Split Insulated Wood Framed Wall with Metal Panel Cladding","BETB 8.2.1, metal thru-wall flashing at rim joist",$/ft,0.09,139,0.5
BTAP-IntermediateFloorEdge-6,BTAP-ExteriorWall-WoodFramed-6B good,rimjoist,"Rim Joist and TWF, Split Insulated Wood Framed Wall with Metal Panel Cladding","BETB 8.2.18 no thru-wall flashing, thermal clips over rim joist",$/ft,0.026,172,0.5
BTAP-IntermediateFloorEdge-7,BTAP-ExteriorWall-WoodFramed-7 bad,rimjoist,"Brick Veneer Shelf Angle at Rim Joist, Split Insulated Wood Framed WalL","BETB 8.2.12, continuous shelf angle on rim joist",$/ft,0.05,"21,172","0.5,0.25"
BTAP-IntermediateFloorEdge-7,BTAP-ExteriorWall-WoodFramed-7 good,rimjoist,"Brick Veneer Shelf Angle at Rim Joist, Split Insulated Wood Framed WalL","BETB 8.2.15, offset shelft angle and membrane TWF",$/ft,0.03,"189,172","0.25,0.5"
BTAP-IntermediateFloorEdge-7,BTAP-ExteriorWall-WoodFramed-7B bad,rimjoist,"Brick Veneer Shelf Angle at Rim Joist, Split Insulated Wood Framed WalL","BETB 8.2.12, continuous shelf angle on rim joist",$/ft,0.05,"21,172","0.5,0.25"
BTAP-IntermediateFloorEdge-7,BTAP-ExteriorWall-WoodFramed-7B good,rimjoist,"Brick Veneer Shelf Angle at Rim Joist, Split Insulated Wood Framed WalL","BETB 8.2.15, offset shelft angle and membrane TWF",$/ft,0.03,"189,172","0.25,0.5"
BTAP-IntermediateFloorEdge-8,BTAP-ExteriorWall-Mass-8B bad,rimjoist,Precast Concrete Panels Intermediate Floor Edge Connection,"BETB 7.2.8, intermediate floor connection",$/ft,0.2,0,0.5
BTAP-IntermediateFloorEdge-8,BTAP-ExteriorWall-Mass-8B good,rimjoist,Precast Concrete Panels Intermediate Floor Edge Connection,"BETB 7.2.13, intermediate floor with FRP composite connection ",$/ft,0.02,0,0.5
BTAP-IntermediateFloorEdge-8,BTAP-ExteriorWall-Mass-8C bad,rimjoist,Precast Concrete Panels Intermediate Floor Edge Connection,"BETB 7.2.8, intermediate floor connection",$/ft,0.2,0,0.5
BTAP-IntermediateFloorEdge-8,BTAP-ExteriorWall-Mass-8C good,rimjoist,Precast Concrete Panels Intermediate Floor Edge Connection,"BETB 7.2.13, intermediate floor with FRP composite connection ",$/ft,0.02,0,0.5
BTAP-IntermediateFloorEdge-9,BTAP-ExteriorWall-Metal-1B bad,rimjoist,Insulated Metal Sandwich Panels Intermediate Floor Edge Connection,"BETB 6.2.1, horizontal panel stack joint aligned/connected to interior beam",$/ft,0.32,0,0.5
BTAP-IntermediateFloorEdge-9,BTAP-ExteriorWall-Metal-1B good,rimjoist,Insulated Metal Sandwich Panels Intermediate Floor Edge Connection,"BETB 6.2.2, vertical panel stak joint not aligned/connected to interior beam",$/ft,0.03,0,0.5
BTAP-IntermediateFloorEdge-9,BTAP-ExteriorWall-Metal-1C bad,rimjoist,Insulated Metal Sandwich Panels Intermediate Floor Edge Connection,"BETB 6.2.1, horizontal panel stack joint aligned/connected to interior beam",$/ft,0.32,0,0.5
BTAP-IntermediateFloorEdge-9,BTAP-ExteriorWall-Metal-1C good,rimjoist,Insulated Metal Sandwich Panels Intermediate Floor Edge Connection,"BETB 6.2.2, vertical panel stak joint not aligned/connected to interior beam",$/ft,0.03,0,0.5
BTAP-Parapet-1,BTAP-ExteriorWall-SteelFramed-4 bad,parapet,"Exterior Insulated Steel Framed Wall to Parapet Transition, Cladding or Brick Veneer","BETB 5.5.12, exposed concrete parapet on concrete slab, over ext. ins. Steel stud Wall",$/ft,0.7,0,0.5
BTAP-Parapet-1,BTAP-ExteriorWall-SteelFramed-4 good,parapet,"Exterior Insulated Steel Framed Wall to Parapet Transition, Cladding or Brick Veneer","BETB 5.5.2, insulation wrapped concrete parapet on conc. Slab, over ext. ins. Steel stud wall",$/ft,0.43,"57,139","3.3,3.3"
